INSTNM,ZIP,LATITUDE,LONGITUDE,SATVR75
Alabama A & M University,35762,34.783368,-86.568502,470
University of Alabama at Birmingham,35294-0110,33.50223,-86.80917,640
Amridge University,36117-3553,32.362609,-86.17401,NULL
University of Alabama in Huntsville,35899,34.722818,-86.63842,670
Alabama State University,36104-0271,32.364317,-86.295677,470
The University of Alabama,35487-0166,33.2144,-87.545766,620
Central Alabama Community College,35010,32.924429,-85.94653,NULL
Athens State University,35611,34.805625,-86.96514,NULL
Auburn University at Montgomery,36117-3596,32.369939,-86.177351,538
Auburn University,36849,32.604685,-85.482782,630
Birmingham Southern College,35254,33.515453,-86.853636,620
Chattahoochee Valley Community College,36869,32.42391,-85.031485,NULL
Concordia College Alabama,36701,32.42443,-87.023531,520
South University-Montgomery,36116,32.342684,-86.216488,NULL
Enterprise State Community College,36330-1300,31.297496,-85.836956,NULL
James H Faulkner State Community College,36507-2698,30.852045,-87.779758,NULL
Faulkner University,36109-3390,32.384181,-86.21641,NULL
Gadsden State Community College,35903,33.991866,-85.991299,NULL
New Beginning College of Cosmetology,35951,34.27871,-86.196931,NULL
George C Wallace State Community College-Dothan,36303-9234,31.316086,-85.46355,NULL
George C Wallace State Community College-Hanceville,35077-2000,34.07341,-86.781745,NULL
George C Wallace State Community College-Selma,36703-2808,32.445611,-87.01324,NULL
Herzing University-Birmingham,35209,33.468105,-86.832299,NULL
Huntingdon College,36106-2148,32.350939,-86.285313,560
Heritage Christian University,35630-9977,34.859089,-87.662062,NULL
J F Drake State Community and Technical College,35811,34.772116,-86.573817,NULL
Jacksonville State University,36265,33.822128,-85.766644,560
Jefferson Davis Community College,36426,31.101995,-87.085829,NULL
Jefferson State Community College,35215-3098,33.652439,-86.707387,NULL
John C Calhoun State Community College,35671,34.65428,-86.949131,NULL
Judson College,36756,32.630526,-87.316127,NULL
Lawson State Community College-Birmingham Campus,35221-1717,33.451673,-86.890234,NULL
University of West Alabama,35470,32.59244,-88.186077,NULL
Lurleen B Wallace Community College,36420-1418,31.322947,-86.452262,NULL
Marion Military Institute,36756-3207,32.622359,-87.317998,605
Miles College,35064-2621,33.481306,-86.908605,NULL
University of Mobile,36613-2842,30.793247,-88.128934,530
University of Montevallo,35115-6000,33.10625,-86.865099,600
Northwest-Shoals Community College,35661,34.739567,-87.67733,NULL
University of North Alabama,35632-0001,34.80658,-87.680999,593
Northeast Alabama Community College,35986,34.545471,-85.911664,NULL
Oakwood University,35896,34.756628,-86.661628,530
Alabama Southern Community College,36460,31.488925,-87.326352,NULL
Prince Institute-Southeast,60126,41.928952,-87.962922,NULL
Reid State Technical College,36401,31.46071,-86.964486,NULL
Bishop State Community College,36603-5898,30.693972,-88.056982,NULL
Samford University,35229-2240,33.464578,-86.790932,620
Selma University,36701,32.420358,-87.033826,NULL
Shelton State Community College,35405-8522,33.120531,-87.56148,NULL
Snead State Community College,35957-0734,34.201247,-86.169479,NULL
University of South Alabama,36688-0002,30.695081,-88.18189,570
Spring Hill College,36608-1791,30.694751,-88.138199,600
Southeastern Bible College,35244-2083,33.378935,-86.749045,NULL
Stillman College,35401,33.199228,-87.585242,495
Talladega College,35160,33.434258,-86.113675,NULL
H Councill Trenholm State Community College,36108-3199,32.350109,-86.343057,NULL
Troy University,36082-0001,31.800128,-85.950191,NULL
Tuskegee University,36088-1920,32.431021,-85.710315,510
United States Sports Academy,36526-7055,30.639329,-87.91163,NULL
Bevill State Community College,35501,33.835785,-87.265034,NULL
University of Alaska Anchorage,99508,61.189554,-149.826135,NULL
Alaska Bible College,99645,61.59843,-149.111341,NULL
University of Alaska Fairbanks,99775-7500,64.856483,-147.822943,NULL
University of Alaska Southeast,99801-8697,58.38427,-134.636346,NULL
Alaska Pacific University,99508,61.191235,-149.804242,610
